epoch,train_loss
0,1.9194380208557726
1,1.682953673250535
2,1.3559842016182693
3,1.1285518851934695
4,0.991948100866056
5,0.9390838625384312
6,0.8316221108623579
7,0.7569122045647865
8,0.6954230490852805
9,0.6945498813601101
10,0.6860853749163011
11,0.6265052901763543
12,0.6048204396285263
13,0.549325905009812
14,0.574340504174139
15,0.5497637554710987
16,0.5330480518294316
17,0.5614315283064749
18,0.5498078576489991
19,0.5419043717431087
20,0.5594398630600349
21,0.529233021479027
22,0.5145399757460052
23,0.48509930454048455
24,0.48308078038926217
25,0.47857140559776157
26,0.47893089874117983
27,0.4785678906767976
28,0.5129394239070368
29,0.4545578518334557
30,0.46278054457084805
31,0.4817127410103293
32,0.45668622208576576
33,0.4551713548454584
34,0.42814352231867175
35,0.4634312999014761
36,0.44436634814037995
37,0.47088973428688796
38,0.4182085102679683
39,0.44066931453405644
40,0.42408689856529236
41,0.4302757557700662
42,0.4196754717359356
43,0.42842687637198207
44,0.44056396624621225
45,0.45863453839339463
46,0.42353321056739957
47,0.4125990651401819
48,0.4043870036508523
49,0.3961064587621128
50,0.38478876737987294
51,0.41385360266648086
52,0.4253077746606341
53,0.4017883369735643
54,0.405624693515254
55,0.4165888715024088
56,0.4093545938239378
57,0.41498162641244773
58,0.394413516217587
59,0.4190837805177651
60,0.38759246468544006
61,0.40233005729376103
62,0.39181923165040855
63,0.3977834354428684
64,0.40325695334696304
65,0.3883223726468928
66,0.4175269790724212
67,0.37640391494713576
68,0.3972661728952445
69,0.39263440756236806
70,0.412322321358849
71,0.37037300011690927
72,0.3919127282558703
73,0.3860320980642356
74,0.3755691218025544
75,0.37501906705837623
76,0.38070376830942493
77,0.39103958302853153
78,0.39233238965857264
79,0.36124808063694075
80,0.37254082396918653
81,0.3753471216734718
82,0.3783293728734933
83,0.40022847319350524
84,0.3927829794439615
85,0.3922303278072208
86,0.3670600801706314
87,0.3900620943191005
88,0.3826282325328565
89,0.38756517832185705
90,0.385075402026083
91,0.37733421372432335
92,0.3867965358145097
93,0.3696868498535717
94,0.3770311702700222
95,0.38293006285732867
96,0.3789149961050819
97,0.3922812418610442
98,0.3931599268141915
99,0.37443486791031033
