epoch,train_loss,val_loss,val_miou,val_macc
0,1.9265055278452432,1.8385843255303123,0.10223856495608263,0.1880329524015507
1,1.7356197485109655,1.5135106390172786,0.21346148759862796,0.2847811163814379
2,1.437760806665188,1.1841081922704524,0.2117093874467946,0.29288449996395943
3,1.1868265460177165,0.9567611813545227,0.24120073644106382,0.33391912542109786
4,1.0437445727790273,0.8104915564710443,0.2910827032629904,0.3863424670105272
5,0.99288977500869,0.7174898196350444,0.3068129834185472,0.39598435064375537
6,0.8869515584736336,0.6549533659761603,0.36019171482501416,0.4619905697277918
7,0.8022649506243263,0.5914510596882213,0.4486269188837966,0.5388741842709504
8,0.8186556929495277,0.5392214899713342,0.48342314017965743,0.5804632261203218
9,0.7589802487594325,0.5148743093013763,0.49484998841954964,0.5926118115027421
10,0.6698502992711416,0.49835030328143726,0.5277191471862835,0.6375940177317332
11,0.6484481038116827,0.46214504675431684,0.5320559971448215,0.6344575838306915
12,0.6071556421314798,0.4610266793857921,0.538688989572695,0.6407178711597981
13,0.6485035121440887,0.45475459640676325,0.525080826947875,0.6132113628675894
14,0.6309773267769232,0.4337188330563632,0.5425202225244566,0.6384931840634345
15,0.5653508385507072,0.4212271991101178,0.5583756415546802,0.6505777383678591
16,0.6064243033164884,0.43365682526068255,0.5593433332375258,0.6669091287722628
17,0.539291336769011,0.410343736410141,0.5647370333076457,0.6580112944629983
18,0.5964223488074977,0.44632639532739465,0.551601575380077,0.6663895524531591
19,0.5976273424741698,0.40737358277494257,0.5689201993449146,0.6687821297725965
20,0.5497983788571706,0.39927270873026416,0.571923854126104,0.6669630003177327
21,0.5671570715380878,0.395246838981455,0.5743430367735455,0.669142687790331
22,0.5487095670002263,0.39277404953132977,0.5767991303821738,0.6718454343132512
23,0.5244034230709076,0.39191425117579376,0.5700354406138921,0.6613647958087184
24,0.5136945538404512,0.3987199068069458,0.5832666897446446,0.6895963140651343
25,0.512354231462246,0.3819565773010254,0.5790941588727979,0.6721194647295035
26,0.5152519330745791,0.37730846486308356,0.5878350240788188,0.6809809736278295
27,0.4867430227558787,0.3902755637060512,0.5785565527690483,0.6812285619727935
28,0.4893545355738663,0.37964139743284747,0.5865559830401693,0.684637105384053
29,0.5136394413506112,0.3809807761148973,0.5839784987027541,0.687325626193315
30,0.5020697771049127,0.37871126153252344,0.5876704160725372,0.6902288607597065
31,0.475933395507859,0.3655539927157489,0.5941322873710495,0.6827258321986258
32,0.5200740462396203,0.3726200082085349,0.5945866368661791,0.6948415582422467
33,0.43607777756888694,0.3711447499015115,0.5964100161981414,0.6938100766089612
34,0.4920942107351815,0.36286114291711286,0.5921748139367902,0.6828752841097288
35,0.4738495160893696,0.37587699565020477,0.5875147148565807,0.6890917925913361
36,0.4503920150966179,0.36371842839501123,0.5913479939558449,0.690244458385598
37,0.4874607019308137,0.36776642907749524,0.5872736599520175,0.6809546914413772
38,0.44944985756059974,0.3748853423378684,0.5908263293428855,0.6924138319968423
39,0.4218823306444215,0.3584857393394817,0.5954347804470522,0.6904374229524309
40,0.460323650662492,0.35486504300074145,0.5980089166888687,0.6915475284412516
41,0.46922197865276805,0.35932120951739227,0.5984884565791173,0.696878272483306
42,0.45403782841635915,0.35628440976142883,0.5937776783872606,0.6878781416187987
43,0.4693652645843785,0.3669815578243949,0.5937725746194403,0.7004371524141675
44,0.44922190395797174,0.3550349866802042,0.5923428980823102,0.6825939716639778
45,0.45555149927371885,0.359830069271001,0.5943023716732331,0.6942721124558824
46,0.451248799882284,0.36324514042247424,0.5946837076754427,0.698843376584562
47,0.43251620996289136,0.36098217828707263,0.5944662425998011,0.698030202115928
48,0.4286132505754145,0.3549496517940001,0.5989458505331147,0.6971754557314551
49,0.44781044779754264,0.3557093956253745,0.598315262067101,0.6984957381462236
50,0.4173264343564103,0.3504437113350088,0.602219704678763,0.697057370940602
51,0.45070540759621597,0.3594634397463365,0.6009930228104674,0.7058652894272337
52,0.4257634740050246,0.3521266295151277,0.5970236124277141,0.6929383122815825
53,0.42773213328384774,0.34786774895407935,0.5978303058298674,0.6908433502669462
54,0.42026168980249545,0.34883376685055817,0.5952522541618545,0.6909432712371298
55,0.4215596063834865,0.35094520856033673,0.6015727652756322,0.6979367715542707
56,0.4442161903148744,0.34938394887880847,0.5980774755360286,0.6952264631511585
57,0.41301187654820887,0.3432518257336183,0.6054989007544569,0.6974880385610777
58,0.4165321886539459,0.3520035174759952,0.600220899427112,0.6986700554360098
59,0.43046408891677856,0.349382302977822,0.6001329554160838,0.6988944787866048
60,0.3944019675254822,0.34643145582892676,0.6020094997725248,0.6999228625239444
61,0.4167047720856783,0.3421099402687766,0.6054519098486546,0.6947984547520606
62,0.42216437982349864,0.3460880206389861,0.6001297388257537,0.6965265533498474
63,0.4343045717332421,0.3438563184304671,0.6007972932327039,0.6925549571910092
64,0.42848485490170923,0.346667926419865,0.6048145905124994,0.7031488316690986
